local_identifier,name
[FRP-EA580480],FRP_480
[FRP-EA580489],FRP_489
[FRP-EA580490],FRP_490
[FRP-EA580491],FRP_491
[FRP-EA580492],FRP_492
[FRP-EA580493],FRP_493
[FRP-EA580494],FRP_494
[FRP-EA580495],FRP_495
[FRP-EA580497],FRP_497
[FRP-EA580498],FRP_498
[FRP-EA580499],FRP_499
[FRP-EA580500],FRP_500
[FRP-EA639684],FRP_684
[SFH CT192214],SFH_214
B011 [FRP-EC110501],FRP_501_B011
B081 [FRP-EC111339],FRP_339_B081
B082 [FRP-EC111343],FRP_343_B082
B085 [FRP-EC111345],FRP_345_B085
Netherlands 1,NLA_001
Netherlands 3,NLA_003
UK_FJ60112,UK_112
